run	n.clusts	n.tot.clust genes 	n.genes per cluster
11	138		299	2 5 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 3 2 2 2 3 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 3 2 3 2 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 3 5 2 2 2 2 2 2 2 2 2 2 2 
12	141		300	2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 3 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 3 5 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 3 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
13	145		313	2 2 2 2 3 2 3 3 2 2 2 3 2 2 2 2 3 2 2 2 2 2 3 2 2 2 2 3 2 2 2 3 2 2 4 4 3 2 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 2 3 2 2 2 3 2 2 2 2 2 2 3 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
14	132		294	2 2 2 2 2 3 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 3 3 2 5 2 2 2 2 2 3 2 3 4 3 2 2 2 2 2 3 2 2 2 3 2 7 3 4 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 3 4 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
15	132		299	2 3 2 2 2 2 2 2 2 2 2 3 2 2 2 3 2 2 2 3 2 4 2 2 2 2 2 4 2 4 2 2 2 2 2 2 2 4 2 2 3 2 2 3 2 2 2 2 2 3 3 3 2 2 2 2 3 3 2 2 2 3 2 2 2 2 3 2 2 2 3 3 3 2 2 2 2 2 2 3 3 2 2 4 2 2 3 2 2 2 2 2 2 2 3 2 2 2 3 2 2 3 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 
16	137		302	3 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 3 2 3 2 2 5 3 2 2 3 2 2 3 2 2 2 2 2 2 3 2 2 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 3 3 2 2 2 4 2 2 2 2 3 2 3 2 3 2 2 3 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
17	140		300	2 2 2 2 2 2 2 2 2 3 2 2 3 2 4 2 2 3 3 3 2 2 2 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 4 4 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 5 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
18	130		300	2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 3 2 3 4 2 4 3 3 2 2 2 4 2 4 3 3 2 2 2 2 2 2 2 2 2 2 2 2 3 3 2 5 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 3 2 3 2 3 2 2 2 2 2 3 3 2 2 2 2 2 4 2 3 2 2 2 2 2 3 2 2 2 2 3 2 2 2 2 2 2 2 2 2 4 2 3 2 2 2 2 2 2 5 2 2 2 3 2 2 2 2 2 2 2 2 3 2 2 2 2 
19	150		323	3 2 2 2 2 4 2 2 2 2 2 2 2 2 3 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 2 2 2 2 2 3 2 2 2 2 3 2 3 2 2 2 2 2 4 2 2 3 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 4 2 2 4 2 2 2 2 2 2 3 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 
20	135		292	3 3 2 2 2 2 2 2 4 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 3 2 2 3 2 2 2 3 2 2 2 2 2 3 2 3 2 2 2 2 2 2 5 2 2 2 2 3 3 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 3 2 2 2 3 2 2 2 2 2 2 2 2 2 3 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 3 2 3 2 2 2 2 2 2 2 2 2 2 2 
